Korece,Türkçe,Kelime Türü Türkçesi,Kelime Türü Korecesi,Kullanım Notu,Seviye
몇,kaç,sayı,수,Sayı olarak miktarı ifade etmek için kullanılır.,A
모두,her şey,isim,명,Bütün nesneleri kapsayan ifadede kullanılır.,A
모두,herkes,zarf,부,"Tüm bireyleri kapsayan, toplu ifadeyi belirtir.",A
모든,her,belirteç,관,Tüm öğeleri niteleyici olarak kullanılır.,A
모르다,bilmemek,fiil,동,Bilgi sahibi olmama durumunu ifade eder.,A
모자,şapka,isim,명,Başın üzerine takılan aksesuar.,A
목,boyun,isim,명,Vücudun boyun bölgesini ifade eder.,A
목요일,perşembe,isim,명,Haftanın dördüncü günü.,A
목욕,banyo,isim,명,Yıkanma eylemi veya banyoyu ifade eder.,A
몸,vücut,isim,명,Canlı varlığın fiziksel yapısı.,A
못,yapamamak,zarf,부,Bir eylemin gerçekleştirilemediğini belirtir (ek yardımcı olarak kullanılır).,A
못하다,yapamamak,fiil,동,Bir eylemi gerçekleştirememe durumunu ifade eder.,A
무슨,hangi,belirteç,관,Bir nesnenin veya özelliğin ne olduğunu sorgularken kullanılır.,A
무엇,ne,zamir,대,Bir şeyi sorgularken veya belirsiz bir öğeyi ifade eder.,A
문,kapı,isim,명,Giriş çıkış için kullanılan yapı.,A
문제,soru,isim,명,Merak edilen veya çözüme kavuşturulması gereken konu.,A
문화,kültür,isim,명,Bir toplumun yaşam tarzı ve değer sistemini ifade eder.,A
묻다,sormak,fiil,동,Bilgi almak veya teyit etmek amacıyla soru sorma eylemi.,A
물,su,isim,명,İçecek veya temizlik için kullanılan sıvı.,A
물건,eşya,isim,명,"Maddi nesne, obje.",A
물론,elbette,zarf,부,"Kesinlik, şüphe olmadan ifadenin altını çizer.",A
물어보다,sormak,fiil,동,Bilgi veya teyit almak amacıyla soru yöneltmek.,A
뭐,ne,ünlem,감,"Sürpriz, şaşkınlık ifadesi olarak veya soru anlamında kullanılır.",A
뭐,ne,zamir,대,Belirli olmayan nesneyi ifade etmek için kullanılır.,A
미국,Amerika,isim,고,Ülke ismi.,A
미안하다,üzgün olmak,fiil,형,Pişmanlık ya da özür ifadesi olarak kullanılır.,A
미터,metre,ölçü birimi,의,Uzunluk ölçüsünde kullanılan birim.,A
밑,alt,isim,명,Bir şeyin en alt kısmı veya tabanını ifade eder.,A
바꾸다,değiştirmek,fiil,동,Bir şeyin şeklini veya yerini değiştirmek.,A
바나나,muz,isim,명,"Tropikal meyve; genellikle sarı renkli, tatlı bir meyve.",A
바다,deniz,isim,명,"Geniş su kütlesi, okyanusun bir parçası.",A
바람,rüzgar,isim,명,"Hava hareketi, esinti.",A
바람,nedeniyle,edat,의,Bir olayın etkisini veya sonucunu belirtirken kullanılır.,A
바로,doğru şekilde,zarf,부,"Bir eylemin düzgün, eksiksiz veya hemen gerçekleştiğini ifade eder.",A
바르다,"doğru, düzgün olmak",sıfat (fiil),형,Davranış veya düzenin doğru/düzgün olduğunu ifade eder.,A
바쁘다,meşgul olmak,fiil,형,"Zaman veya dikkat açısından yoğun, dolu olmak.",A
바지,pantolon,isim,명,Alt giyim eşyası; genellikle iki paça şeklinde.,A
박물관,müze,isim,명,"Sanat, tarih veya bilim eserlerinin sergilendiği yer.",A
밖,dış,isim,명,"Bir mekanın dış kısmını, dışarıyı ifade eder.",A
반,yarım,isim,명,Bütünün iki eşit parçasından biri.,A
반,grup,isim,명,Bir araya gelen kişilerin oluşturduğu topluluk.,A
반갑다,memnun olmak,fiil,형,"Birini gördüğünde duyulan hoşnutluk, sevincin ifadesi.",A
받다,almak,fiil,동,"Bir şeyi teslim almak, elde etmek.",A
발,ayak,isim,명,Vücudun yürüme organı.,A
발음,telaffuz,isim,명,Bir kelimenin veya ifadenin söyleniş biçimi.,A
밝다,umut vaat etmek,fiil,형,"Işığın, parlaklığın veya geleceğe dair umutlu görünümün ifadesi.",A
밝다,açık olmak,fiil,형,"Işığın, parlaklığın açık, berrak olması.",A
밤,gece,isim,명,Gün batımından sonra gelen karanlık zaman dilimi.,A
밤,kestane,isim,명,Kabuklu yemiş.,A
밥,yemek,isim,명,Pirinçten yapılan yemek ya da öğün.,A
방,oda,isim,명,"Kapalı mekan, yaşam veya çalışma alanı.",A
방학,tatil,isim,명,Okulun ara tatil dönemi.,A
배,karın,isim,명,Vücudun karın bölgesini ifade eder.,A
배,tekne,isim,명,Su üzerinde hareket eden deniz taşıtı.,A
배,armut,isim,명,"Tatlı, sulu meyve; Kore’de sık tüketilen meyve türlerinden biri.",A
배고프다,aç olmak,fiil,형,Yeterli besin alınmadığında hissedilen açlık duygusunu ifade eder.,A
배부르다,tok olmak,fiil,형,Yemek sonrası doygunluk hissini belirtir.,A
배우다,öğrenmek,fiil,동,Bilgi veya beceri kazanma eylemi.,A
백,yüz,sayı,수,100 sayısını belirtir.,A
백화점,alışveriş merkezi,isim,명,Çeşitli ürünlerin satıldığı geniş alışveriş merkezi.,A
버리다,atmak,fiil,보,Bir şeyi (eylem veya his de olabilir) uzaklaştırmak,A
버스,otobüs,isim,명,Toplu taşıma aracı.,A
번,kez,ölçü birimi,의,Bir eylemin kaç defa yapıldığını belirtir.,A
번호,numara,isim,명,Tanımlama veya sıralama amacıyla kullanılan sayı.,A
벌써,zaten,zarf,부,Beklenenden önce gerçekleştiğini ifade eder.,A
벗다,çıkarıp atmak,fiil,동,Giysi veya aksesuarı vücuttan ayırmak.,A
별,yıldız,isim,명,Gökyüzündeki parlak cisim; mecazi anlamda ünlü kişi.,A
병,hastalık,isim,명,"Sağlık bozukluğu, rahatsızlık.",A
병,şişe,isim,명,Sıvı saklamak için kullanılan kap.,A
병원,hastane,isim,명,Sağlık hizmeti veren kurum.,A
보내다,göndermek,fiil,동,Bir şeyi veya kişiyi bir yerden başka yere iletmek.,A
보다,denemek,fiil,동,Bir şeyi yapmayı ya da tecrübe etmeyi denemek.,A
보다,görmek,yardımcı fiil,보,"Algılamak, görsel olarak fark etmek.",A
보통,genelde,isim,명,"Genellikle sıradan, normal durumu ifade eder.",A
복잡하다,karmaşık olmak,fiil,형,Bir şeyin iç yapısının düzensiz veya çok katmanlı olduğunu ifade eder.,A
볼펜,tükenmez kalem,isim,명,"Yazı yazmak için kullanılan, mürekkep yerine top kullanan kalem.",A
봄,ilkbahar,isim,명,"Doğanın yeniden canlandığı, çiçeklerin açtığı mevsim.",A
부르다,çağırmak,fiil,동,"Birini seslenmek, adını söyleyerek çağırmak.",A
부모,ebeveyn,isim,명,Çocuk sahibi olan anne ve babayı ifade eder.,A
부모님,ebeveynler,isim,명,Saygılı hitapla ebeveynleri belirtir.,A
부부,evli çift,isim,명,Resmi evlilik bağıyla birbirine bağlı olan iki kişiyi ifade eder.,A
부산,Busan,isim,고,Güney Kore’nin önemli liman ve turizm şehri.,A
부엌,mutfak,isim,명,Yemek hazırlama ve pişirme alanı.,A
부인,eş,isim,명,"Resmi hitapla evli kadın, hayat arkadaşı.",A
부탁하다,"rica etmek, yardım istemek",fiil,동,Kibarca yardım veya istekte bulunmak için kullanılır.,A
북쪽,kuzey,isim,명,Yön olarak kuzeyi ifade eder.,A
분,parça,isim,의,Nesnelerin bölümlerini veya kısımlarını saymak için kullanılan ölçü birimi.,A
분,dakika,isim,의,"Zamanın, saat içerisindeki küçük birimi (60 dakika = 1 saat).",A
불,ateş,isim,명,"Yanma, alev ve ışık yayan enerji kaynağı.",A
불고기,bulgogi,isim,명,"Marine edilip ızgara yapılan, Kore mutfağına özgü et yemeği.",A
불다,üflemek,fiil,동,Havanın akışını sağlamak veya rüzgarın esişini ifade etmek.,A
비,yağmur,isim,명,Gökyüzünden düşen su damlacıkları.,A
비누,sabun,isim,명,"Temizlik amacıyla kullanılan, cilt temizleyici madde.",A
비디오,video,isim,명,Görüntü ve ses içeren medya kaydı.,A
비빔밥,bibimbap,isim,명,"Pirinç, sebze, et ve yumurtanın karıştırılarak servis edildiği geleneksel Kore yemeği.",A
비슷하다,benzemek,fiil,형,İki ya da daha fazla şey arasında benzerlik kurmak.,A
비싸다,pahalı olmak,fiil,형,Fiyat veya maliyet açısından yüksek olduğunu belirtir.,A
비행기,uçak,isim,명,Hava yoluyla seyahat edilen mekanik taşıt.,A
빠르다,hızlı olmak,fiil,형,Hareketin veya sürecin çabuk gerçekleştiğini ifade eder.,A
빨간색,kırmızı,isim,명,Renk olarak kırmızıyı ifade eder.,A
빨리,hızlıca,zarf,부,Bir eylemin kısa sürede gerçekleştiğini belirtir.,A
빵,ekmek,isim,명,"Fırında pişirilmiş hamur ürünü, temel gıda maddesi.",A
사,dört,sayı,수,Miktar veya sıralamada kullanılan sayı.,A
사과,elma,isim,명,"Yenen, tatlı veya ekşi meyve.",A
사다,satın almak,fiil,동,Bir ürünü veya hizmeti edinmek için para ödemek.,A
사람,insan,isim,명,"Birey, insan varlığı.",A
사랑,sevgi,isim,명,Duygusal bağ veya aşkı ifade eden kavram.,A
사랑하다,sevmek,fiil,동,Birine karşı derin duygular beslemek.,A
사무실,ofis,isim,명,İş veya idari faaliyetlerin yürütüldüğü çalışma alanı.,A
사십,kırk,sayı,수,40 sayısını ifade eder.,A
사용하다,kullanmak,fiil,동,"Bir aracı veya yöntemi devreye sokmak, yararlanmak.",A
사월,Nisan,isim,명,"Takvimdeki ay isimlerinden biri, ilkbaharın son aylarından.",A
사이,aralık,isim,명,İki nesne veya kişi arasındaki mesafe veya ilişkiyi ifade eder.,A
사장,patron,isim,명,Bir şirketin en üst düzey yöneticisi.,A
사전,sözlük,isim,명,Kelimelerin anlamlarının sıralandığı referans kaynağı.,A
사진,fotoğraf,isim,명,Kamerayla çekilmiş görsel kayıt.,A
사탕,şeker,isim,명,Genellikle tatlı atıştırmalık olarak tüketilen şekerli yiyecek.,A
산,dağ,isim,명,"Yüksek, doğal yer şekli.",A
산책,yürüyüş,isim,명,Dinlenme veya egzersiz amacıyla yapılan kısa yürüyüş.,A
살,yaş,ölçü birimi,의,Bir kişinin yaşam süresini veya yaşı belirtmek için kullanılır.,A
살다,yaşamak,fiil,동,"Hayatını sürdürmek, yaşamını devam ettirmek.",A
삼,üç,sayı,수,Üç sayısını ifade eder.,A
삼십,otuz,sayı,수,30 sayısını belirtir.,A
삼월,Mart,isim,명,Takvim aylarından biri.,A
새,kuş,isim,명,"Uçabilen, tüylerle kaplı hayvan.",A
새,yeni,sıfat,관,"Daha önce kullanılmamış, taze olanı ifade eder.",A
색,renk,isim,명,Bir nesnenin görsel özelliğini belirtir.,A
색깔,renk,isim,명,Görsel çeşitliliği ifade eden özellik.,A
샌드위치,sandviç,isim,명,İki dilim ekmek arasında çeşitli malzemelerin konulduğu yiyecek.,A
생각,düşünce,isim,명,Zihinsel faaliyet sonucu oluşan fikir veya kanaat.,A
생각하다,düşünmek,fiil,동,Kafasında fikir oluşturmak veya değerlendirmek.,A
생기다,meydana gelmek,fiil,동,"Bir olayın, durumun veya değişikliğin ortaya çıkmasını ifade eder.",A
생선,balık,isim,명,Genellikle çiğ tüketilen deniz ürünleri.,A
생일,doğum günü,isim,명,Bir kişinin doğum tarihinin yıldönümü.,A
생활,yaşam,isim,명,"Günlük hayatı, yaşam tarzını ifade eder.",A
샤워,duş,isim,명,Su kullanılarak yapılan temizlik yöntemi.,A
서다,ayakta durmak,fiil,동,"Dik pozisyonda bulunmak, duruşu ifade eder.",A
서로,birbirine,zarf,부,Karşılıklı ilişki veya hareketi ifade eder.,A
서른,otuz,sayı,수,30 sayısını belirtir.,A
서울,Seul,isim,고,Güney Kore’nin başkenti.,A
서울역,Seul tren istasyonu,isim,고,Seul’deki ana tren istasyonu.,A
서점,kitapçı,isim,명,Kitap satışı yapılan dükkan.,A
서쪽,batı,isim,명,Yön olarak batıyı ifade eder.,A
선물,hediye,isim,명,"Sevgi, saygı veya özel bir durumu ifade etmek için verilen nesne.",A
선물하다,hediye vermek,fiil,동,Birine hediye sunma eylemi.,A
선생,öğretmen,isim,명,Eğitim veren kişi.,A
선생님,öğretmen,isim,명,Daha saygılı hitap edilen öğretmen.,A
설명,açıklama,isim,명,Bir konunun detaylı anlatımı.,A
설명하다,açıklamak,fiil,동,Bir konuyu veya durumu anlaşılır şekilde ifade etmek.,A
설악산,Seorak Dağı,isim,고,Güney Kore’nin ünlü dağlarından biri.,A
설탕,şeker,isim,명,Yiyeceklerde tatlandırıcı olarak kullanılan toz şeker.,A
세,üç,sayı,관,Sayım veya sıralamada kullanılan sayı.,A
세,yaş,ölçü birimi,의,Bir kişinin yaşını belirtmek için kullanılan ölçü birimi.,A
세수,yüz yıkama,isim,명,Genellikle sabah ve akşam yapılan yüz temizliği.,A
세탁기,çamaşır makinesi,isim,명,Giysi yıkamak için kullanılan makine.,A
센티미터,santimetre,ölçü birimi,의,Uzunluğu ölçmek için kullanılan metrik birim (1/100 metre).,A
셋,üç,sayı,수,Rakam olarak üçü ifade eder.,A
셋째,üçüncü,sayı,수,Sıralama veya sayma amacıyla kullanılan ifade.,A
소개하다,tanıtmak,fiil,동,Bir kişiyi veya şeyi başkalarına tanıtmak.,A
소금,tuz,isim,명,Yiyeceklerde tatlandırıcı veya koruyucu olarak kullanılan mineral.,A
소파,kanepe,isim,명,Oturma amaçlı kullanılan geniş mobilya.,A
소풍,piknik,isim,명,Açık havada yapılan eğlenceli gezi veya etkinlik.,A
속,iç,isim,명,Bir nesnenin iç kısmını veya özünü ifade eder.,A
손,el,isim,명,Kavrama ve dokunma işlevi olan uzuv.,A
손가락,parmak,isim,명,"Elde bulunan, sayma ve his işlevi gören uzuv.",A
손님,müşteri,isim,명,Hizmet alan veya satın alma işlemi gerçekleştiren kişi.,A
쇠고기,dana eti,isim,명,Sığır etinden elde edilen gıda maddesi.,A
쇼핑,alışveriş,isim,명,Ürün veya hizmet satın alma eylemi.,A
수,yöntem,isim,의,Bir eylemin gerçekleştirilme biçimini ifade eder.,A
수건,havlu,isim,명,Vücudu kurulamak veya temizlemek için kullanılan kumaş parçası.,A
수박,karpuz,isim,명,"Büyük, tatlı meyve; özellikle yazın tüketilir.",A
수업,ders,isim,명,Öğrenim veya öğretim faaliyetlerinin gerçekleştirildiği zaman dilimi.,A
수영,yüzme,isim,명,Suda yapılan yüzme eylemi veya spor.,A
수영장,yüzme havuzu,isim,명,"Yüzme sporu veya eğlence amaçlı kullanılan, su dolu kapalı veya açık alan.",A
수영하다,yüzmek,fiil,동,Suda gerçekleştirşlen yüzme eylemi.,A
수요일,Çarşamba,isim,명,Haftanın üçüncü günü.,A
숙제,ödev,isim,명,Öğrencilerin evde tamamlaması gereken çalışma.,A
숟가락,kaşık,isim,명,"Yemek yerken kullanılan, sıvıları veya yiyecekleri almayı sağlayan mutfak gereci.",A
술,alkol,isim,명,Fermente veya damıtılmış içecek.,A
술,kaşık dolusu,ölçü birimi,의,Sıvı veya yoğun maddelerin miktarını ifade eden ölçü birimi.,A
쉬다,dinlenmek,fiil,동,"Kısa süreli ara verip rahatlamak, mola vermek.",A
쉰,elli,sayı,수,50 sayısını ifade eder.,A
쉽다,kolay olmak,fiil,형,Bir işin zahmetsiz veya çabuk gerçekleştiğini belirtir.,A
슈퍼마켓,süpermarket,isim,명,Çeşitli ürünlerin satıldığı büyük market.,A
스무,yirmi,sayı,관,Nesneleri sayarken kullanılan 20 sayısı (isimden önce kullanılır).,A
스물,yirmi,sayı,수,20 sayısını ifade eder.,A
스키,kayak,isim,명,Karda yapılan spor aktivitesi veya kullanılan ekipman.,A
스트레스,stres,isim,명,Zihinsel veya duygusal baskı durumunu ifade eder.,A
스포츠,spor,isim,명,Rekabet veya eğlence amacıyla yapılan fiziksel etkinlikler.,A
슬프다,üzgün olmak,fiil,형,"Duygusal acı, keder hissetmek.",A
시,şehir,isim,명,"Büyük yerleşim yeri, kent.",A
시,zaman,ölçü birimi,의,Bir olayın gerçekleşme süresini veya saat dilimini ifade eder.,A
시간,zaman,isim,명,Geçen süre veya saat ölçüsünü ifade eder.,A
시계,saat,isim,명,Zamanı gösteren cihaz.,A
시원하다,serin olmak,fiil,형,Havanın ferahlatıcı veya serinletici olduğunu ifade eder.,A
시월,Ekim,isim,명,Takvim aylarından biri; sonbaharın başlangıcı olarak kabul edilir.,A
시작,başlangıç,isim,명,Bir sürecin veya olayın başlangıcını ifade eder.,A
시작되다,başlamak,fiil,동,Bir sürecin kendiliğinden başlamasını ifade eder.,A
시작하다,başlamak,fiil,동,Bir eylemi veya süreci başlatmak.,A
시장,pazar,isim,명,Ürünlerin satıldığı açık veya kapalı pazar yeri.,A
시험,sınav,isim,명,Bilgi veya yeteneği ölçmek amacıyla yapılan test.,A
식당,restoran,isim,명,Yemek servisi yapılan mekan.,A
식사,yemek,isim,명,Bir öğün sırasında tüketilen yiyecekler.,A
식사하다,yemek yemek,fiil,동,Bir öğünde yemek yeme eylemini ifade eder.,A
식탁,yemek masası,isim,명,Yemeklerin servis edildiği masa.,A
신다,giymek,fiil,동,Özellikle ayakkabı veya benzeri giysilerin giyilmesini ifade eder.,A
신문,gazete,isim,명,Güncel haber ve bilgi içeren yazılı yayın.,A
신발,ayakkabı,isim,명,Ayakları koruyan veya süsleyen giyim eşyası.,A
실례,görgüsüzlük,isim,명,Toplum içinde nazik olmayan davranış veya saygısızlık.,A
실례하다,saygısızlık etmek,fiil,동,Kaba veya uygun olmayan davranış sergilemek.,A
싫다,hoşlanmamak,fiil,형,"Bir şeyden memnun olmamak, sevmediğini ifade etmek.",A
싫어하다,hoşlanmamak,fiil,동,Bir şeyi yapmaktan kaçınmak veya sevmemek.,A
십,on,sayı,수,10 sayısını ifade eder.,A
십이월,Aralık,isim,명,Takvim aylarından biri; yılın son ayı.,A
십일월,Kasım,isim,명,Takvim aylarından biri; sonbaharın ilerleyen dönemi.,A
싶다,istemek,fiil,보,Bir arzu veya isteği ifade eder.,A
싸다,ucuz olmak,fiil,형,Fiyat açısından düşük olduğunu belirtir.,A
싸우다,kavga etmek,fiil,동,"Tartışmak veya çatışmak, mücadele etmek.",A
쓰다,yazmak,fiil,동,Kalem veya benzeri araçla yazı oluşturmak.,A
쓰다,takmak,fiil,동,Özellikle şapka gibi başlık giymek.,A
쓰다,almak (ilaç),fiil,동,İlaç veya tıbbi ürün kullanmak.,A
쓰레기,çöp,isim,명,"Atık, artık kullanılmayan malzeme.",A
씨,bay (saygı eki),belirteç,의,İsimlere eklenerek saygı ifadesi sağlar.,A
씻다,yıkamak,fiil,동,Temizlik amacıyla su kullanarak temizlemek.,A
아,ah,ünlem,감,"Şaşkınlık, üzüntü veya hayret ifadesi.",A
아기,bebek,isim,명,Yeni doğmuş veya küçük çocuk.,A
아내,eş,isim,명,Evli kadını ifade eder.,A
아니,değil,zarf,부,Olumsuzlama ifadesi; bir şeyin geçerli olmadığını belirtir.,A
아니다,olmamak,fiil,형,Bir durumun veya ifadenin reddedilmesi.,A
아니요,hayır,ünlem,감,"Olumsuz yanıt, ret ifadesi.",A
아들,oğul,isim,명,Erkek çocuk.,A
아래,alt,isim,명,Bir nesnenin alt kısmı veya aşağıya doğru yer.,A
아름답다,güzel olmak,fiil,형,Estetik veya içsel güzelliği ifade eder.,A
아마,muhtemelen,zarf,부,Bir durumun olası olduğunu belirtir.,A
아무,herhangi,belirteç,관,"Belirli olmayan, herhangi birini ifade eder.",A
아무,hiç kimse,zamir,대,Belirli bir varlığın yokluğunu ifade eder.,A
아버지,baba,isim,명,Çocukların erkek ebeyni.,A
아빠,baba,isim,명,Günlük ve samimi hitapla kullanılan baba.,A
아이,çocuk,isim,명,Yeni doğmuş veya küçük birey.,A
아이스크림,dondurma,isim,명,"Soğuk, tatlı süt bazlı yiyecek.",A
아저씨,amca,isim,명,"Genellikle yaşça büyük, tanınmayan erkek için kullanılan hitap.",A
아주,aşırı,zarf,부,"Dereceyi arttıran, yoğunluk ifade eden kelime.",A
아주머니,hanımefendi,isim,명,"Saygılı hitapla, evli veya orta yaşlı kadın için kullanılan ifade.",A
아줌마,evli kadın,isim,명,"Gündelik dilde, evli veya orta yaşlı kadın için kullanılan ifade.",A
아직,henüz,zarf,부,"Bir durumun veya eylemin gerçekleşmediğini, devam ettiğini ifade eder.",A
아침,sabah,isim,명,"Güne başlangıç zamanı, erken saatler.",A
아파트,apartman,isim,명,Konut amaçlı çok katlı yapı.,A
아프다,ağrımak,fiil,형,Fiziksel veya duygusal acı hissetmek.,A
아홉,dokuz,sayı,수,9 sayısını ifade eder.,A
아흔,doksan,sayı,수,90 sayısını ifade eder.,A
안,iç,isim,명,Bir nesnenin iç kısmını veya alanın iç bölümünü belirtir.,A
안,olumsuzluk,zarf,부,Fiile veya cümleye olumsuzluk katan ek görevi görür.,A
안경,gözlük,isim,명,Gözleri korumak veya düzeltmek için kullanılan araç.,A
안녕,merhaba/hoşça kal,ünlem,감,Selamlaşma veya vedalaşma ifadesi.,A
안녕하다,selamlaşmak,fiil,형,"Nazik bir şekilde selam vermek, karşılıklı selamlaşmak.",A
안녕히,huzur içinde,zarf,부,"Vedalaşma sırasında kullanılan, iyi dilek belirten ifade.",A
안다,kucaklamak,fiil,동,"Birini kollarla sarmak, tutmak.",A
안되다,olmamak,fiil,동,Bir eylemin gerçekleşemeyeceğini veya izin verilmediğini ifade eder.,A
앉다,oturmak,fiil,동,Bir yere yerleşip oturma eylemini ifade eder.,A
않다,yapmamak,fiil,동,Bir eylemi gerçekleştirmemek.,A
않다,olmamak,yardımcı fiil,보,Bir durumun veya eylemin gerçekleşmemesini belirtir.,A
알다,bilmek,fiil,동,"Bir konu hakkında bilgi sahibi olmak, farkında olmak.",A
앞,ön,isim,명,Bir nesnenin veya yerin ön kısmını ifade eder.,A
야구,beyzbol,isim,명,Top ve sopa ile oynanan spor dalı.,A
약,ilaç,isim,명,Hastalık tedavisinde kullanılan tıbbi madde.,A
약국,eczane,isim,명,İlaç ve sağlık ürünlerinin temin edildiği yer.,A
약속,söz,isim,명,"Verilen taahhüt veya randevu, sözel anlaşma.",A
약속하다,söz vermek,fiil,동,"Taahhütte bulunmak, randevu veya anlaşma yapmak.",A
양말,çorap,isim,명,Ayakları ısıtan veya koruyan giysi parçası.,A
양복,takım elbise,isim,명,Resmi veya iş ortamında giyilen batı tarzı kıyafet.,A
얘기,hikaye,isim,명,"Anlatılan olay veya sohbet, sözlü anlatım.",A
얘기하다,hikaye anlatmak,fiil,동,Sözlü iletişim yoluyla olayları veya düşünceleri paylaşmak.,A
어,ey,ünlem,감,Şaşkınlık veya tereddüt ifadesi.,A
어깨,omuz,isim,명,"Kolların başladığı, vücudun üst kısmında yer alan bölge.",A
어느,hangi,soru sıfatı,관형사,Soru cümlelerinde seçim belirtmek için kullanılır.,A
어디,nere,soru zarfı,부,Yer sorgulamalarında kullanılır.,A
어떤,hangi,soru sıfatı,관형사,Belirli bir özelliği sorgulamak için kullanılır.,A
어떻게,nasıl,soru zarfı,부,Bir şeyin nasıl yapıldığını sormak için kullanılır.,A
어떻다,nasıl olmak,fiil,형,Durum veya şekil sorgulamalarında kullanılır.,A
어렵다,zor olmak,fiil,형,Zorluk ifade eder; bir işin yapışının güç olduğunu belirtir.,A
어른,yetişkin,isim,명,"Genellikle olgun, yetişkin bireyi ifade eder.",A
어린이,çocuk,isim,명,Küçük yaştaki bireyleri tanımlar.,A
어머니,anne,isim,명,Resmi veya samimi hitapla anneleri belirtir.,A
어서,çabucak,zarf,부,Eylemin hızlıca gerçekleştirilmesini ifade eder.,A
어제,dün,isim,명,Geçmişteki belirli bir günü belirtir.,A
언니,abla,isim,명,"Erkeklerin kendilerine hitap ettiği, yaşça büyük kız kardeşi ifade eder.",A
언제,ne zaman,soru zarfı,부,Zaman sorgulamalarında kullanılır.,A
언제나,her zaman,zarf,부,"Sürekli, daima anlamında kullanılır.",A
얼굴,yüz,isim,명,İnsan veya hayvanın yüzünü ifade eder.,A
얼마,ne kadar,soru zarfı,부,Miktar ya da derecenin sorgulanmasında kullanılır.,A
얼마나,ne kadar,zarf,부,Miktar veya derecenin ölçüsünü sormak için kullanılır.,A
엄마,anne,isim,명,Samimi hitapla anneleri belirtir.,A
없다,olmamak,fiil,형,Bir şeyin var olmamasını ifade eder.,A
에어컨,klima,isim,명,Ortamı soğutmak için kullanılan cihaz.,A
여권,pasaport,isim,명,Seyahatlerde kimlik ve ülke bilgilerini içeren belge.,A
여기,bura,zamir,대,Konuşana yakın bir yeri gösteren işaret zamiri.,A
여덟,sekiz,sayı,수,8 sayısını ifade eder.,A
여동생,küçük kız kardeş,isim,명,"Genellikle erkekler tarafından kullanılan, yaşça küçük kız kardeşi ifade eder.",A
여든,seksen,sayı,수,80 sayısını belirtir.,A
여러,çeşitli,belirteç,관,Miktar veya çeşitliliği ifade eder.,A
여러분,sizler,zamir,대,Resmi toplu hitap ifadesidir; kalabalığa yönelik kullanılır.,A
여름,yaz,isim,명,Mevsim olarak yazı ifade eder.,A
여보세요,alo,ünlem,감,Telefonla selamlaşmada kullanılan selam ifadesidir.,A
여섯,altı,sayı,수,6 sayısını ifade eder.,A
여자,kadın,isim,명,Yetişkin dişi bireyleri ifade eder.,A
여학생,kız öğrenci,isim,명,Eğitim gören dişi öğrenciyi tanımlar.,A
여행,seyahat,isim,명,"Yolculuk, gezi veya seyahat anlamında kullanılır.",A
여행하다,seyahat etmek,fiil,동,Bir yerden başka bir yere yolculuk yapmak.,A
역,tren istasyonu,isim,명,Demiryolu ulaşımının yapıldığı yer.,A
역사,tarih,isim,명,Geçmiş olayları ve dönemleri ifade eder.,A
연습,antrenman,isim,명,Beceri geliştirme amacıyla yapılan tekrar eylemini tanımlar.,A
연습하다,antrenman yapmak,fiil,동,Pratik yaparak öğrenmeyi ifade eder.,A
연필,kalem,isim,명,Yazma aracı; özellikle kurşun kalem.,A
열,on,sayı,수,10 sayısını belirtir.,A
열다,açmak,fiil,동,Kapalı olanı açma eylemini ifade eder.,A
열쇠,anahtar,isim,명,Kilidi açmak veya kapatmak için kullanılan araç.,A
열심히,özenle,zarf,부,"Titizlikle, büyük gayretle anlamında kullanılır.",A
영국,İngiltere,isim,고,Ülke ismi.,A
영어,İngilizce,isim,명,Dil ismi.,A
영화,film,isim,명,Görsel-işitsel eser.,A
옆,yan,isim,명,Bir nesnenin yanında yer alan alanı ifade eder.,A
예,evet,ünlem,감,Onay ifadesidir.,A
예쁘다,güzel olmak,fiil,형,Estetik güzelliği ifade eder.,A
예순,altmış,sayı,수,60 sayısını ifade eder.,A
예절,"görgü, nezaket",isim,명,Toplumsal davranış kurallarını ifade eder.,A
옛날,eski zamanlar,isim,명,Geçmiş dönemleri veya eski zamanları ifade eder.,A
오,beş,sayı,수,5 sayısını ifade eder.,A
오늘,bugün,isim,명,Şu anki günü belirtir.,A
오다,gelmek,fiil,동,Bir yere doğru hareket etmek.,A
오래,uzun süre,zarf,부,Zamanın uzunluğunu belirtir.,A
오래간만,uzun aradan sonra,isim,명,Uzun süre sonra gerçekleşen durumları ifade eder.,A
오랜만,uzun aradan sonra,isim,명,Uzun sürenin ardından meydana gelen durumları belirtir.,A
오렌지,portakal,isim,명,Meyve olarak portakalı ifade eder.,A
오르다,yükselmek,fiil,동,Yükseğe doğru hareket etmek; tırmanmak.,A
오른쪽,sağ taraf,isim,명,Yön ifadesi olarak sağ kısmı belirtir.,A
오빠,abi,isim,명,Erkeklerin kendilerine hitap ettiği abiyi ifade eder.,A
오십,elli,sayı,수,50 sayısını ifade eder.,A
오월,Mayıs,isim,명,Takvim aylarından biri; beşinci ay.,A
오전,öğleden önce,isim,명,"Günün ilk yarısını, sabah saatlerini ifade eder.",A
오후,öğleden sonra,isim,명,Günün ikinci yarısını ifade eder.,A
올라가다,yukarı çıkmak,fiil,동,Yüksek bir noktaya doğru hareket etmek.,A
올해,bu yıl,isim,명,Şu anki yılı ifade eder.,A
